略称,Year,Paper URL,Website URL,Challenge Tag,Sub-Challeng Tag,How to Solve,Training Type,Dataset,Evaluation
VoxPoser,2023,https://arxiv.org/pdf/2307.05973,https://voxposer.github.io/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Generate intermediate programs and 3D affordance maps as strong intermediate representations by LLM,BC,Online Experiences,RLBench
Orion,2025,https://arxiv.org/pdf/2503.19755,https://xiaomi-mlab.github.io/Orion/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Introduces a high-level VLM planner with a separate low-level motion controller,BC,Bench2Drive base set; Chat-B2D Dataset;,nuScenes;Bench2Drive
Gemini RObotics,2025,https://arxiv.org/pdf/2503.20020,https://deepmind.google/blog/gemini-robotics-brings-ai-into-the-physical-world/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Introduces a high-level VLM planner with a separate low-level motion controller,BC and Predictive Modeling,Self-built Data,Manipulation Tasks
KnowledgeVLA,2025,https://arxiv.org/abs/2505.23705,https://www.pi.website/research/knowledge_insulation,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Introduces a high-level VLM planner with a separate low-level motion controller,BC,OXE,LIBERO;DROID
Beyond Sight,2025,https://arxiv.org/pdf/2501.04693,https://fuse-model.github.io/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Incorporating additional modalities,BC ,OXE,Self-built Data;Octo
RH-20T,2023,https://arxiv.org/pdf/2307.00595,https://rh20t.github.io./,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Incorporating additional modalities,BC , RH20T, RH20T
TouchVLA,2025,https://arxiv.org/pdf/2507.17294,https://clear-nus.github.io/blog/vla-touch,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Incorporating additional modalities,BC ,Self-built Data,Self-built Data
TLA,2025,https://arxiv.org/pdf/2503.08548,https://sites.google.com/view/tactile-language-action/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Introduces tactile perception,BC,TLA,Custom Contact-Rich Manipulation Benchmark
OmniVTLA,2025,https://arxiv.org/pdf/2508.08706,https://github.com/linchangyi1/Awesome-Touch,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Constructs a se mantically aligned tactile encoder ,BC ,Self-built Data,Real-Robot Evaluation
Tactile-VLA,2025,https://arxiv.org/pdf/2507.09160,https://jialeihuang.github.io/tactileVLA.github.io/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Ranging from deep fusion across the full pipeline,BC ,Self-built Data,Real-Robot Evaluation
ForceVLA,2025,https://arxiv.org/pdf/2505.22159,https://sites.google.com/view/forcevla2025/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Modular mixture-of-experts (MoE) fusion ,BC ,Force-VLA-Dataset,Force-VLA-Benchmark
MultiGen,2025,https://arxiv.org/html/2507.02864v2,https://multigen-audio.github.io/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Uses multimodal generation for simulated multi-modal data,BC ,Self-built Data;EPIC-Kitchens,Real-Robot Evaluation
Depth Helps,2024,https://arxiv.org/pdf/2408.05107,https://gewu-lab.github.io/DepthHelps-IROS2024/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Treats depth as a supervisory signal,BC,LIBERO;Self-built Data,LIBERO
RoboFlamingo-Plus,2025,https://arxiv.org/pdf/2503.19510,-,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Fuses preprocessed depth maps  with RGB features,BC ,CALVIN,CALVIN
PointVLA,2025,https://arxiv.org/pdf/2503.07511,https://pointvla.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,integrates point cloud inputs into pretrained VLA models to improve spatial reasoning without modifying the backbone,BC,Self-built Data,Self-built Data
Leo,2023,https://arxiv.org/pdf/2311.12871,https://embodied-generalist.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,unify 2D and 3D modalities,BC,LEO,CLIPort;AI Habitat ObjNav
GeoVLA,2025,https://arxiv.org/pdf/2508.09071,https://linsun449.github.io/GeoVLA,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,unify 2D and 3D modalities,BC,OXE,LIBERO;ManiSkill2
FP3,2025,https://arxiv.org/pdf/2503.08950,https://3d-foundation-policy.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Uses a point-cloud–centric pipeline reconstruction,BC ,DROID;Self-built Data,-
SoFar,2025,https://arxiv.org/pdf/2502.13143,https://qizekun.github.io/sofar/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Constructs semantic 3D scene graphs by integrating VLM-recognized objects and point-cloud orientation cues,BC,OrienText300K;Objaverse,Open6DOR
Weakly-Supervised 3D,2025,https://arxiv.org/pdf/2312.09625,-,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Leverages CLIP’s 2D–text alignment for weakly supervised 3D semantic transfer,BC ,ReferIt3D;ScanRefer,ReferIt3D;ScanRefer
LLM-3DP,2025,https://arxiv.org/pdf/2501.18733,https://lmm-3dp-release.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Fuses 2D semantic features via back-projection with point-cloud geometry for unified semantic-geometric representation,BC; Predictive Modeling,Self-built Data,RLBench
OccLLaMA,2024,https://arxiv.org/pdf/2409.03272,https://vilonge.github.io/OccLLaMA_Page/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Assigns semantic labels to 3D  voxels for spatial reasoning,predictive Modeling,NuScenes;Occ3D;NuScenes-QA,nuScenes Benchmark
RoboMM,2024,https://arxiv.org/pdf/2412.07215,-,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Incorpo rates multi-view temporal modeling to generate unified 3D  occupancy grids.,BC,OXE;CALVIN,CALVIN;Meta-World;LIBERO
TraceVLA,2024,https://arxiv.org/pdf/2412.10345,https://tracevla.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Extends this to a 4D  perspective by incorporating time,BC ,BridgeData-v2;OXE,SimplerEnv;LIBERO;WidowX-250
ARM4R,2025,https://arxiv.org/pdf/2502.13142,https://arm4r.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Learns space–time coupling by predicting the evolution of 3D point trajectories,BC; Predictive Modeling,Epic-Kitchens100;RLBench,RLBench;Kinova Gen3
SpatialVLA,2025,https://arxiv.org/pdf/2501.15830,spatialvla.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Uses positional encoding and adaptive spatial grids to project 2D semantics into 3D and generate space-action knowledge graphs,BC ,OXE;RH20T;BridgeData V2,SimplerEnv;LIBERO
Evo-0,2025,https://arxiv.org/pdf/2507.00416,https://mint-sjtu.github.io/Evo-0.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Attaches external geometric modules atop a frozen VLM,BC,RLBench,RLBench
AC-DiT,2025,https://arxiv.org/pdf/2507.01961,https://ac-dit.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Leverages diffusion-based conditional modeling to estimate depth reliability without full 3D reconstruction,BC,Self-built Data;RoboTwin;ManiSkill-HAB,ManiSkill-HAB;RoboTwin
BridgeVLA,2025,https://arxiv.org/pdf/2506.07961,https://bridgevla.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Converts point clouds into multiple rendered 2D views,BC,RoboPoint;RLBench;Self-built Data,RLBench;COLOSSEUM;GemBench
OG-VLA,2025,https://arxiv.org/abs/2506.01196,https://og-vla.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,generates orthographic projections to recover 3D pose,RL,ARNOLD;COLOSSEUM,ARNOLD;COLOSSEUM
pi0,2024,https://arxiv.org/html/2410.24164v1,https://www.physicalintelligence.company/blog/pi0,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,-,,Self-built Data;OXE;Bridge v2;DROID,
RoboPoint,2024,https://arxiv.org/pdf/2406.10721,https://robo-point.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Leverages 2D keypoint back-projection to form structured 3D action cues,predictive Modeling,VQA;Self-built Data,RoboRefIt;WHERE2PLACE
VoxPoser,2023,https://arxiv.org/pdf/2307.05973,https://voxposer.github.io/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Leverages LLM-guided code to generate dense voxel-value maps linking linguistic constraints to spatial geometry,predictive Modeling,null,Real-Robot Evaluation
Spatial Traces,2025,https://arxiv.org/pdf/2508.09032,https://ampiromax.github.io/ST-VLA,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,"Fuses tracked keypoints with depth maps, encoding structure and dy namics in a unified 2D input",BC,Bridge,SimplerEnv
A0,2025,https://arxiv.org/pdf/2504.12636,https://a-embodied.github.io/A0/,Multi-Modal Fusion and Physical World Representation     ,From 2D Images to SPatial Temporal Representations,Predicts interaction points and trajectories in 2D and then lifts them into 3D via depth projection,RL,PixMo-One-Point;HOI4D-22k;DROID-3k;Maniskill-5k,HOI4D-22k;DROID-3k;Maniskill-5k;Real-Robot Evaluation
TriVLA,2025,https://arxiv.org/pdf/2507.01424,https://robertwyq.github.io/univla.github.io/,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Augments a video diffusion model to produce  multi-step visual rollouts,BC ,Bridge;CALVIN ABC;MetaWorld,CALVIN ABC;LIBERO;MetaWorld
UP-VLA,2025,https://arxiv.org/pdf/2501.18867,https://github.com/CladernyJorn/UP-VLA,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Leverages key subgoal image prediction to represent the next salient task state,BC,Bridge;Self-built Data,CALVIN
CoT-VLA,2025,https://arxiv.org/abs/2503.22020,https://cot-vla.github.io/,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Leverages key subgoal image prediction to represent the next salient task state,BC,OXE;EPIC-KITCHENS-100;Something-Something V2;Bridge-V2,LIBERO
DreamVLA,2025,https://arxiv.org/pdf/2507.04447,https://zhangwenyao1.github.io/DreamVLA/,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,"Predicting task-critical cues (dynamic regions, depth, and affordance features)",BC ,CALVIN;Self-built Data,CALVIN ABC-D;LIBERO;
V-jepa 2,2025,https://arxiv.org/pdf/2506.09985,https://ai.meta.com/blog/v-jepa-2-world-model-benchmarks,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Leverages latent-space encoding and prediction to model future state evolution,Predictive Modeling,VideoMix22M;Droid,Something-Something v2;ImageNet;
LUMOS,2025,https://arxiv.org/pdf/2503.10370,http://lumos.cs.uni-freiburg.de/,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Leverages multi-step internal rollouts in a learned world model to evaluate action sequences and select an optimal plan,BC,CALVIN;Self-built Data,CALVIN Challenge
FlowVLA,2025,https://arxiv.org/abs/2508.18269,https://irpn-lab.github.io/FlowVLA/,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Leverages a visual chain-of-thought mechanism to forecast future frames and synthesize physically consistent scenes,BC; Predictive Modeling,LIBERO;SimplerEnv;Bridge V2,LIBERO;SimplerEnv-WidowX;AgileX Cobot;Bridge V2
WorldVLA,2025,https://arxiv.org/pdf/2506.21539,https://github.com/alibaba-damo-academy/RynnVLA-002,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Leverages learned world dynamics to model low-level physics and synthesize future physical evolution,BC; Predictive Modeling,LIBERO-90,LIBERO
VLM-in-the-loop,2025,https://arxiv.org/pdf/2502.01828,https://yilin-wu98.github.io/forewarn/,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Leverages internal multi-step rollouts in a world model to evaluate and select action sequences,BC; Predictive Modeling,Self-built Data,Real-Robot Evaluation
MinD,2025,https://arxiv.org/abs/2502.07591,https://github.com/news-vt/DMWM,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Leverages internal multi-step rollouts to evaluate long-horizon outcomes and select optimal actions,RL ,RT-1;RoboMind;OXE;,Franka Research 3
WMPO,2025,https://arxiv.org/pdf/2511.09515,https://wm-po.github.io/,Multi-Modal Fusion and Physical World Representation     ,Dynamic and Predictive World Models,Leverages imagined interaction in a video world model to replace costly physical interaction,RL; Predictive Modeling,OXE;Cobot Mobile ALOHA;,Mimicgen simulation;Real-Robot Evaluation
OE-VLA,2025,https://arxiv.org/pdf/2505.11214,https://github.com/JiuTian-VL/Large-VLM-based-VLA-for-Robotic-Manipulation,From Complex Instructions to Robust and Real-Time Execution  ,Parsing Complex Instractions,Leverages a shared visual encoder and text tokenizer to produce strictly interleaved token streams,BC and Predictive Modeling,MGrounding;CALVIN,OE-CALVIN_base
Interleave-VLA,2025,https://arxiv.org/pdf/2505.02152,https://interleave-vla.github.io/Interleave-VLA-Anonymous/,From Complex Instructions to Robust and Real-Time Execution  ,Parsing Complex Instractions,Leverages special tokenizer tags to insert image features seamlessly into text sequences,BC,Open Interleaved X-Embodiment Dataset,VIMA-Bench
TinkAct,2025,"""https://arxiv.org/pdf/2507.16815",https://jasper0314-huang.github.io/thinkact-vla/,From Complex Instructions to Robust and Real-Time Execution  ,Parsing Complex Instractions,infers and verifies the in tended target via scene parsing and feedback,RL and Predictive Modeling,HowTo100M; COIN; CrossTask,Visual Planning for Assistance
DEEPTHINKVLA,2025,https://arxiv.org/pdf/2511.15669,https://github.com/wadeKeith/DeepThinkVLA,From Complex Instructions to Robust and Real-Time Execution  ,Parsing Complex Instractions,Leverages causal chain-of-thought and outcome-driven RL to resolve ambiguity and align subgoals,BC and Predictive Modeling,Embodied CoT,LIBERO
InSpire,2025,https://arxiv.org/pdf/2505.13888,https://koorye.github.io/proj/Inspire/,From Complex Instructions to Robust and Real-Time Execution  ,Parsing Complex Instractions,leverages explicit spatial queries to prompt the policy for target-robot relative location,BC ,LIBERO-90;CALVIN,LIBERO
AskToAct,2025,https://arxiv.org/pdf/2503.01940,https://github.com/emrecanacikgoz/awesome-conversational-agents,From Complex Instructions to Robust and Real-Time Execution  ,Parsing Complex Instractions,leverages explicit spatial queries to auto-fill missing target-robot information,BC,xlam-IC,Taskbench-IC
OneTwoVLA,2025,https://arxiv.org/pdf/2505.11917,https://one-two-vla.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,leverages structured textual reasoning to generate scene descriptions high-level plans and next-step instructions,RL / BC / Predicative modeling,demonstration trajectories provided by human experts,OneTwoVLA(self create)
PI0.5,2025,https://arxiv.org/pdf/2504.16054,https://www.pi.website/blog/pi05,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,embeds hierarchical reason ing within a single inference chain,BC and Predictive Modeling,Diverse Mobile Manipulator;Diverse Multi-Environment non-mobile robot ;Cross-Embodiment laboratory,PI0.5
Hi Robot,2025,https://arxiv.org/pdf/2502.19417,https://www.pi.website/research/hirobot,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,employ a two-layer scheme where a VLM parses  instructions into atomic sub-tasks,BC and Predictive Modeling,teleoperated robot demonstrations,Hi Robot
LoHoVLA,2025,https://arxiv.org/pdf/2506.00411,-,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,leverages structured textual reasoning to generate scene descriptions high-level plans and next-step instructions,BC and Predictive Modeling,LoHoSet,LoHoRavens
CoT-VLA,2025,https://arxiv.org/pdf/2503.22020,https://cot-vla.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,employs pixel-level subgoal images as explicit intermediates,BC,Open X-Embodiment; EPIC-KITCHENS; Something-Something V2,LIBERO
Embodied-SlotSSM,2023,https://www.arxiv.org/pdf/2511.11478,https://libero-mem.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,employs slot-based object-centric representations to create structured visual intermediates ,BC ,LIBERO-Goal,LIBERO-Mem
RT-Affordance,2024,https://arxiv.org/pdf/2411.02704,https://snasiriany.me/rt-affordance,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,plans tasks by breaking manipulation into manageable affordance steps,BC and Predictive Modeling,RT-1 ;MOO,RT-Affordance
CoA-VLA,2025,https://arxiv.org/pdf/2412.20451,https://chain-of-affordance.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,Treats each affordance link as an implicit planning signal,BC and Predictive Modeling,Droid,LIBERO
VLP,2025,https://arxiv.org/pdf/2401.05577,https://github.com/autodriving-heart/CVPR-2024-Papers-Autonomous-Driving,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,builds a fine-grained library for data-efficient reuse of manipulation patterns.,BC and Predictive Modeling,nuScenes,open-loop planning
Agentic Robot,2025,https://arxiv.org/pdf/2505.23450,https://agentic-robot.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,Produces clear step subgoals sequences for verifiable task decomposition,BC and Predictive Modeling,Open-X-Embodiment,LIBERO
RoboBrain,2025,https://arxiv.org/pdf/2502.21257,https://superrobobrain.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,Leverages a hierarchical framework to map abstract instructions to executable atomic actions,BC and Predictive Modeling and RL,LCS-558K; Image-4M; SI-3.2M,RoboVQA; OpenEQA; ShareRobot
DexVLA,2025,https://arxiv.org/pdf/2502.05855,https://github.com/juruobenruo/DexVLA,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,Leverages temporal alignment to automatically annotate semantic sub-steps in long-horizon sequences,BC and Predictive Modeling,DexVLA(self collecting),LIBERO
AgiBot,2025,https://arxiv.org/pdf/2503.06669,https://opendrivelab.com/AgiBot-World/,From Complex Instructions to Robust and Real-Time Execution  ,Hierarchical Planning and Task Decomposition,Leverages explicit skills during data collection to learn latent action tokens that compress high-dimensional control,BC and Predictive Modeling,AgiBot World;OXE,AgiBot
Yell At Your Robot,2024,https://arxiv.org/pdf/2403.12910,https://yay-robot.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Error Detection and Autonomous Recovery,Leverages  real-time language feedback for instant behavioral correction,BC and Predictive Modeling and RL,Yell At Your Robot,Yell At Your Robot
CLIP-RT,2024,https://arxiv.org/pdf/2411.00508,https://clip-rt.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Error Detection and Autonomous Recovery,Leverages language feedback as an action template via similarity matching for retrain-free correction,,Open X-Embodiment (OXE); self collecting,LIBERO
OneTwoVLA,2025,https://arxiv.org/pdf/2505.11917,https://one-two-vla.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Error Detection and Autonomous Recovery,Actively queries humans to resolve uncertainty before acting,,OneTwoVLA,OneTwoVLA
CorrectNav,2025,https://arxiv.org/pdf/2508.10416,https://correctnav.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Error Detection and Autonomous Recovery,Leverages iterative self-correction by using the model's own error trajectories to generate corrective actions and data,BC and Predictive Modeling and RL,VLN-CE; VLN-CE R2R; LLaVA-Video,VLN-CE;R2R-CE;Val-Unseen
FPC-VLA,2025,https://arxiv.org/pdf/2509.04018,https://fpcvla.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Error Detection and Autonomous Recovery,Leverages a VLM to assess action semantics and generate corrective language feedback,BC and Predictive Modeling and RL,OXE;BridgeV2;Google Fractal,SIMPLER
Agentic Robot,2025,https://arxiv.org/pdf/2505.23450,https://agentic-robot.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Error Detection and Autonomous Recovery,Achieves autonomous correction via a plan-act-verify loop with VLM-based validation and recovery,BC,Open-X-Embodiment; LIBERO,LIBERO-Spatial;LIBERO-Object;LIBERO-Goal
BitVLA,2025,https://arxiv.org/pdf/2506.07530,https://github.com/ustcwhy/BitVLA,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,achieves ultra-low-precision efficiency  via ternary 1-bit compression and distillation,BC,LLaVA 1.5-558k;MammoTH-VL,VQA
Evo-1,2025,https://arxiv.org/pdf/2511.04555,https://github.com/MINT-SJTU/Evo-1,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Provides a lightweight 77M-parameter design,BC,Meta-World; RoboTwin,Meta-World
SQAP-VLA,2025,https://arxiv.org/pdf/2509.09090,https://github.com/ecdine/SQAP-VLA,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Introduces perceptual pruning strategies on the basis of quantization,BC and Predictive Modeling,Open X-Embodiment,standard robotics simulation benchmark
TinyVLA,2025,https://arxiv.org/pdf/2409.12514,https://tiny-vla.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Adopt lightweight backbones directly,BC ,LLaVA,MetaWorld
VLA-Adapter,2025,https://arxiv.org/pdf/2509.09372,https://vla-adapter.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages lightweight adapters to graft large-model knowledge into smaller policies,BC and Predictive Modeling,Open X-Embodiment; DROID,LIBERO
NORA,2025,https://arxiv.org/pdf/2504.19854,https://declare-lab.github.io/nora,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Adopt lightweight backbones directly ,BC and Predictive Modeling,Open X-Embodiment,Real-world WidowX-250
RoboMamba,2024,https://arxiv.org/pdf/2406.04339,https://sites.google.com/view/robomamba-web,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages a Mamba backbone for linear-time scaling and faster inference,BC,LLaVA-LCS 558K;LLaVA 1.5 655K; ShareGPT4V-SFT,VQAv2;OKVQA;GQA
MoLe-VLA,2025,https://arxiv.org/pdf/2503.20384,https://sites.google.com/view/mole-vla,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,leverages layer skipping to reduce FLOPs ,BC and Predictive Modeling,RLBench,RLBench
CEED-VLA,2025,https://arxiv.org/pdf/2506.13725,https://irpn-eai.github.io/CEED-VLA/,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Design early exit mechanisms.,BC ,CALVIN; LIBERO,CALVIN ABC
DeeR-VLA,2024,https://arxiv.org/pdf/2411.02359,https://github.com/yueyang130/DeeR-VLA,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Design early exit mechanisms. ,BC and Predictive Modeling,CALVIN; LAION-2B,CALVIN
VLA-Cache,2025,https://arxiv.org/pdf/2502.02175,https://vla-cache.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Uuses adaptive caching that differentiates static and dynamic tokens,BC and Predictive Modeling and RL,CLVR_Jaco_Play,LIBERO
SpecPrune-VLA,2025,https://arxiv.org/pdf/2509.05614,https://github.com/JiuTian-VL/Large-VLM-based-VLA-for-Robotic-Manipulation,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,performs action aware pruning conditioned on history and current observations,BC and Predictive Modeling,-,LIBERO
CogVLA,2025,https://arxiv.org/pdf/2508.21046,https://jiutian-vl.github.io/CogVLA-page/,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,reduces computation through  instruction-driven visual token sparsification.,Predictive Modeling,LIBERO; self collecting,LIBERO
AcceleratingVLA,2025,https://arxiv.org/pdf/2503.02310,https://github.com/jonyzhang2023/awesome-embodied-vla-va-vln,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages parallel decoding to generate full action chunks in one pass,BC and Predictive Modeling,CALVIN,CALVIN
OpenVLA-OFT,2025,https://arxiv.org/pdf/2502.19645,https://github.com/moojink/openvla-oft,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages parallel decoding to generate full action chunks in one pass,Predictive Modeling,ALOHA,LIBERO
